game_date,game_id,player,team,opp,is_home,market_type,stat,threshold,yes_ask,model_prob,pred_stat,lineup_adj,edge,direction,kelly,rest_days,opp_def_l10,game_in_series,ticker,run_date
2026-05-06,PHINYK,Tyrese Maxey,PHI,NYK,0,PROP,AST,5.5,0.5758,0.402,3.3,-1.3,0.174,NO,0.151,2.0,101.8,2,AST-PHINYK-Tyrese Maxey-5.5,2026-05-06
2026-05-06,26APR27MINDEN,Rudy Gobert,MIN,DEN,0,COMBO,DD,0.0,0.01,0.183,9p/9r/2a,0.0,0.173,YES,0.0873,2.0,117.2,2,KXNBA2D-26APR27MINDEN-MINRGOBERT27,2026-05-06
2026-05-06,26MAY04MINSAS,Rudy Gobert,MIN,SAS,0,COMBO,DD,0.0,0.01,0.183,9p/9r/2a,0.0,0.173,YES,0.0873,2.0,108.7,2,KXNBA2D-26MAY04MINSAS-MINRGOBERT27,2026-05-06
2026-05-06,26MAY05LALOKC,Shai Gilgeous-Alexander,OKC,LAL,1,COMBO,DD,0.0,0.01,0.182,28p/4r/6a,0.0,0.172,YES,0.0868,1.0,99.8,2,KXNBA2D-26MAY05LALOKC-OKCSGILGEOUSALEXANDER2,2026-05-06
2026-05-06,26MAY06PHINYK,Josh Hart,NYK,PHI,1,COMBO,DD,0.0,0.33,0.159,10p/7r/3a,0.0,0.171,NO,0.25,2.0,105.9,2,KXNBA2D-26MAY06PHINYK-NYKJHART3,2026-05-06
2026-05-06,26APR08MINORL,Paolo Banchero,ORL,MIN,1,COMBO,TD,0.0,0.19,0.021,24p/8r/5a,0.0,0.169,NO,0.25,3.0,113.9,8,KXNBA3D-26APR08MINORL-ORLPBANCHERO5,2026-05-06
2026-05-06,PHINYK,Paul George,PHI,NYK,0,PROP,AST,3.5,0.5291,0.361,0.9,-1.4,0.168,NO,0.1589,2.0,101.8,2,AST-PHINYK-Paul George-3.5,2026-05-06
2026-05-06,26APR28PORSAS,Stephon Castle,SAS,POR,1,COMBO,DD,0.0,0.44,0.278,18p/5r/7a,0.0,0.162,NO,0.1841,2.0,111.4,2,KXNBA2D-26APR28PORSAS-SASSCASTLE5,2026-05-06
2026-05-06,26APR10PHXLAL,LeBron James,LAL,PHX,1,COMBO,TD,0.0,0.2,0.039,21p/7r/7a,0.0,0.161,NO,0.25,1.0,114.2,2,KXNBA3D-26APR10PHXLAL-LALLJAMES23,2026-05-06
2026-05-06,LALOKC,Ajay Mitchell,OKC,LAL,1,PROP,PTS,15.5,0.561,0.401,10.8,-1.8,0.16,NO,0.1425,1.0,99.8,2,PTS-LALOKC-Ajay Mitchell-15.5,2026-05-06
2026-05-06,MINSAS,Rudy Gobert,MIN,SAS,0,PROP,REB,10.5,0.5227,0.362,7.7,-1.05,0.16,NO,0.1534,2.0,108.7,2,REB-MINSAS-Rudy Gobert-10.5,2026-05-06
2026-05-06,MINSAS,Ayo Dosunmu,MIN,SAS,0,PROP,PTS,10.5,0.5142,0.673,13.9,-1.8,0.159,YES,0.1639,2.0,108.7,2,PTS-MINSAS-Ayo Dosunmu-10.5,2026-05-06
2026-05-06,PHINYK,Karl-Anthony Towns,NYK,PHI,1,PROP,PTS,19.5,0.4773,0.318,12.2,-1.8,0.159,NO,0.1664,2.0,105.9,2,PTS-PHINYK-Karl-Anthony Towns-19.5,2026-05-06
2026-05-06,MINSAS,Victor Wembanyama,SAS,MIN,1,PROP,PTS,26.5,0.5152,0.358,20.5,-1.8,0.158,NO,0.153,2.0,113.9,2,PTS-MINSAS-Victor Wembanyama-26.5,2026-05-06
2026-05-06,26APR23CLETOR,Scottie Barnes,TOR,CLE,1,COMBO,TD,0.0,0.17,0.012,17p/3r/7a,0.0,0.158,NO,0.25,3.0,112.8,8,KXNBA3D-26APR23CLETOR-TORSBARNES4,2026-05-06
2026-05-06,26APR21PORSAS,Deni Avdija,POR,SAS,0,COMBO,TD,0.0,0.17,0.014,21p/6r/5a,0.0,0.156,NO,0.25,8.0,108.7,6,KXNBA3D-26APR21PORSAS-PORDAVDIJA8,2026-05-06
2026-05-06,26MAY03ORLDET,Tobias Harris,DET,ORL,1,COMBO,DD,0.0,0.01,0.165,17p/6r/2a,0.0,0.155,YES,0.0784,1.0,104.4,2,KXNBA2D-26MAY03ORLDET-DETTHARRIS12,2026-05-06
2026-05-06,LALOKC,Ajay Mitchell,OKC,LAL,1,PROP,AST,3.5,0.5343,0.381,1.1,-1.34,0.154,NO,0.1437,1.0,99.8,2,AST-LALOKC-Ajay Mitchell-3.5,2026-05-06
2026-05-06,LALOKC,Shai Gilgeous-Alexander,OKC,LAL,1,PROP,AST,7.5,0.4452,0.296,4.5,-1.12,0.15,NO,0.168,1.0,99.8,2,AST-LALOKC-Shai Gilgeous-Alexander-7.5,2026-05-06
2026-05-06,26APR30NYKATL,Josh Hart,NYK,ATL,0,COMBO,DD,0.0,0.01,0.159,10p/7r/3a,0.0,0.149,YES,0.0751,2.0,114.9,2,KXNBA2D-26APR30NYKATL-NYKJHART3,2026-05-06
2026-05-06,26APR10NOPBOS,Derik Queen,NOP,BOS,0,COMBO,TD,0.0,0.15,0.001,8p/6r/2a,0.0,0.149,NO,0.25,24.0,105.7,0,KXNBA3D-26APR10NOPBOS-NOPDQUEEN22,2026-05-06
