game_date,game_id,player,team,opp,is_home,market_type,stat,threshold,yes_ask,model_prob,pred_stat,lineup_adj,edge,direction,kelly,rest_days,opp_def_l10,game_in_series,ticker,run_date
2026-05-04,26MAY04PHINYK,Karl-Anthony Towns,NYK,PHI,1,PROP,REB,16.0,0.19,0.108,11.5,0.0,0.082,NO,0.2146,4.0,107.4,7,KXNBAREB-26MAY04PHINYK-NYKKTOWNS32-16,2026-05-04
2026-05-04,26MAY04MINSAS,Stephon Castle,SAS,MIN,1,PROP,FG3M,4.0,0.08,0.16,2.2,0.0,0.08,YES,0.0436,6.0,116.3,6,KXNBA3PT-26MAY04MINSAS-SASSCASTLE5-4,2026-05-04
2026-05-04,26MAY04PHINYK,VJ Edgecombe,PHI,NYK,0,PROP,REB,10.0,0.09,0.169,6.4,0.0,0.079,YES,0.0433,2.0,102.5,8,KXNBAREB-26MAY04PHINYK-PHIVEDGECOMBE77-10,2026-05-04
2026-05-04,26MAY04PHINYK,Tyrese Maxey,PHI,NYK,0,PROP,AST,6.0,0.62,0.542,6.3,0.0,0.078,NO,0.0632,2.0,102.5,8,KXNBAAST-26MAY04PHINYK-PHITMAXEY0-6,2026-05-04
2026-05-04,26MAY04MINSAS,Julian Champagnie,SAS,MIN,1,PROP,PTS,8.5,0.4679,0.546,9.9,0.0,0.078,YES,0.0736,6.0,116.3,6,PTS-26MAY04MINSAS-Julian Champagnie-8.5,2026-05-04
2026-05-04,26MAY04PHINYK,Josh Hart,NYK,PHI,1,PROP,PTS,10.0,0.64,0.563,11.4,0.0,0.077,NO,0.0599,4.0,107.4,7,KXNBAPTS-26MAY04PHINYK-NYKJHART3-10,2026-05-04
2026-05-04,26MAY04MINSAS,Devin Vassell,SAS,MIN,1,PROP,REB,3.5,0.5432,0.62,5.0,0.0,0.077,YES,0.0843,6.0,116.3,6,REB-26MAY04MINSAS-Devin Vassell-3.5,2026-05-04
2026-05-04,26MAY04MINSAS,Rudy Gobert,MIN,SAS,0,PROP,PTS,8.5,0.5108,0.588,11.1,2.56,0.077,YES,0.0785,4.0,109.1,7,PTS-26MAY04MINSAS-Rudy Gobert-8.5,2026-05-04
2026-05-04,26MAY04PHINYK,OG Anunoby,NYK,PHI,1,PROP,REB,8.0,0.4,0.477,7.8,0.0,0.077,YES,0.064,4.0,107.4,7,KXNBAREB-26MAY04PHINYK-NYKOANUNOBY8-8,2026-05-04
2026-05-04,26MAY04PHINYK,Mitchell Robinson,NYK,PHI,1,PROP,REB,6.5,0.5618,0.485,6.3,0.0,0.077,NO,0.0688,4.0,107.4,7,REB-26MAY04PHINYK-Mitchell Robinson-6.5,2026-05-04
2026-05-04,26MAY04MINSAS,Stephon Castle,SAS,MIN,1,COMBO,DD,0.0,0.26,0.337,19p/5r/8a,0.0,0.077,YES,0.052,6.0,116.3,6,KXNBA2D-26MAY04MINSAS-SASSCASTLE5,2026-05-04
2026-05-04,26MAY04PHINYK,Tyrese Maxey,PHI,NYK,0,PROP,FG3M,5.0,0.2,0.125,2.9,0.0,0.075,NO,0.1865,2.0,102.5,8,KXNBA3PT-26MAY04PHINYK-PHITMAXEY0-5,2026-05-04
2026-05-04,26MAY04PHINYK,Karl-Anthony Towns,NYK,PHI,1,PROP,AST,3.5,0.5636,0.488,3.4,0.0,0.075,NO,0.0669,4.0,107.4,7,AST-26MAY04PHINYK-Karl-Anthony Towns-3.5,2026-05-04
2026-05-04,26MAY04PHINYK,VJ Edgecombe,PHI,NYK,0,COMBO,DD,0.0,0.07,0.144,15p/6r/4a,0.0,0.074,YES,0.0398,2.0,102.5,8,KXNBA2D-26MAY04PHINYK-PHIVEDGECOMBE77,2026-05-04
2026-05-04,26MAY04PHINYK,Tyrese Maxey,PHI,NYK,0,PROP,AST,7.0,0.46,0.388,6.3,0.0,0.072,NO,0.0783,2.0,102.5,8,KXNBAAST-26MAY04PHINYK-PHITMAXEY0-7,2026-05-04
2026-05-04,26MAY04MINSAS,Stephon Castle,SAS,MIN,1,PROP,AST,12.0,0.11,0.039,7.5,0.0,0.071,NO,0.25,6.0,116.3,6,KXNBAAST-26MAY04MINSAS-SASSCASTLE5-12,2026-05-04
2026-05-04,26MAY04PHINYK,Tyrese Maxey,PHI,NYK,0,PROP,STL,3.0,0.16,0.089,1.2,0.0,0.071,NO,0.221,2.0,102.5,8,KXNBASTL-26MAY04PHINYK-PHITMAXEY0-3,2026-05-04
2026-05-04,26MAY04PHINYK,Josh Hart,NYK,PHI,1,PROP,PTS,20.0,0.09,0.161,11.4,0.0,0.071,YES,0.0392,4.0,107.4,7,KXNBAPTS-26MAY04PHINYK-NYKJHART3-20,2026-05-04
2026-05-04,26MAY04PHINYK,Kelly Oubre Jr.,PHI,NYK,0,PROP,REB,8.0,0.2,0.271,5.8,0.0,0.071,YES,0.0445,2.0,102.5,8,KXNBAREB-26MAY04PHINYK-PHIKOUBRE9-8,2026-05-04
2026-05-04,26MAY04PHINYK,Kelly Oubre Jr,PHI,NYK,0,PROP,REB,5.5,0.4645,0.534,5.9,0.0,0.07,YES,0.0653,2.0,102.5,8,REB-26MAY04PHINYK-Kelly Oubre Jr-5.5,2026-05-04
2026-05-04,26MAY04PHINYK,Tyrese Maxey,PHI,NYK,0,PROP,AST,8.0,0.32,0.25,6.3,0.0,0.07,NO,0.109,2.0,102.5,8,KXNBAAST-26MAY04PHINYK-PHITMAXEY0-8,2026-05-04
2026-05-04,26MAY04PHINYK,Karl-Anthony Towns,NYK,PHI,1,PROP,REB,8.0,0.9,0.83,11.5,0.0,0.07,NO,0.0389,4.0,107.4,7,KXNBAREB-26MAY04PHINYK-NYKKTOWNS32-8,2026-05-04
2026-05-04,26MAY04PHINYK,Karl-Anthony Towns,NYK,PHI,1,PROP,PTS,15.0,0.75,0.681,19.1,0.0,0.069,NO,0.0459,4.0,107.4,7,KXNBAPTS-26MAY04PHINYK-NYKKTOWNS32-15,2026-05-04
2026-05-04,26MAY04PHINYK,Karl-Anthony Towns,NYK,PHI,1,PROP,STL,3.0,0.14,0.071,1.0,0.0,0.069,NO,0.2481,4.0,107.4,7,KXNBASTL-26MAY04PHINYK-NYKKTOWNS32-3,2026-05-04
